Nr. crt.,Legitimație,Disciplina,Nota
572,1719,Informatică,8.06
622,1775,Informatică,8.06
779,1951,Informatică,8.06
877,2070,Informatică,8.06
1015,2219,Informatică,8.06
1027,2234,Informatică,8.06
1043,2252,Informatică,8.06
1053,2266,Informatică,8.06
1060,2277,Informatică,8.06
1103,2326,Informatică,8.06
1109,2333,Matematică,8.06
1421,2682,Matematică,8.06
52,1073,Informatică,8.04
1229,2475,Informatică,8.02
1343,2594,Informatică,8.02
47,1067,Informatică,8.00
83,1116,Matematică,8.00
180,1235,Informatică,8.00
334,1430,Matematică,8.00
392,1508,Informatică,8.00
476,1606,Informatică,8.00
496,1630,Informatică,8.00
556,1701,Informatică,8.00
596,1746,Informatică,8.00
639,1793,Informatică,8.00
685,1844,Informatică,8.00
799,1976,Informatică,8.00
863,2052,Informatică,8.00
892,2086,Informatică,8.00
901,2096,Informatică,8.00
974,2175,Informatică,8.00
1002,2205,Informatică,8.00
1145,2375,Informatică,8.00
1181,2416,Matematică,8.00
1267,2514,Informatică,8.00
1270,2517,Informatică,8.00
1315,2563,Informatică,8.00
1474,2738,Informatică,8.00
1475,2739,Informatică,8.00
56,1078,Informatică,7.98
148,1196,Informatică,7.98
202,1265,Informatică,7.98
245,1316,Matematică,7.98
327,1421,Informatică,7.98
373,1477,Informatică,7.98
754,1923,Informatică,7.98
775,1946,Informatică,7.98
965,2165,Informatică,7.98
331,1427,Informatică,7.96
860,2047,Informatică,7.96
894,2088,Informatică,7.96
1142,2370,Informatică,7.96
1162,2393,Informatică,7.96
278,1354,Informatică,7.94
374,1479,Informatică,7.94
712,1878,Matematică,7.94
822,2004,Informatică,7.94
985,2187,Informatică,7.94
1256,2503,Informatică,7.94
1402,2660,Informatică,7.94
85,1118,Informatică,7.93
94,1128,Informatică,7.93
113,1153,Informatică,7.93
198,1261,Informatică,7.93
427,1546,Informatică,7.93
452,1579,Matematică,7.93
666,1823,Informatică,7.93
804,1984,Matematică,7.93
855,2042,Matematică,7.93
1296,2543,Informatică,7.93
15,1018,Informatică,7.92
40,1054,Informatică,7.92
402,1518,Informatică,7.92
620,1773,Informatică,7.92
1246,2492,Informatică,7.92
1298,2545,Informatică,7.91
405,1521,Matematică,7.88
443,1570,Matematică,7.88
949,2149,Informatică,7.88
20,1025,Informatică,7.87
28,1037,Informatică,7.87
153,1203,Informatică,7.87
298,1378,Informatică,7.87
347,1447,Informatică,7.87
428,1547,Informatică,7.87
508,1643,Informatică,7.87
640,1794,Matematică,7.87
659,1816,Informatică,7.87
743,1911,Informatică,7.87
939,2138,Matematică,7.87
1160,2391,Informatică,7.87
1186,2422,Informatică,7.87
1262,2509,Informatică,7.87
1418,2679,Informatică,7.87
209,1272,Informatică,7.86
798,1975,Informatică,7.86
101,1138,Informatică,7.85
233,1301,Informatică,7.85
423,1542,Informatică,7.85
569,1716,Informatică,7.85
978,2179,Informatică,7.85
1471,2735,Informatică,7.85
889,2083,Informatică,7.83
1169,2403,Informatică,7.83
924,2122,Informatică,7.82
69,1100,Informatică,7.81
133,1178,Informatică,7.81
212,1276,Informatică,7.81
244,1314,Informatică,7.81
256,1328,Matematică,7.81
300,1382,Informatică,7.81
561,1707,Informatică,7.81
633,1786,Informatică,7.81
937,2136,Matematică,7.81
1031,2238,Informatică,7.81
1067,2284,Informatică,7.81
1072,2290,Informatică,7.81
1085,2305,Informatică,7.81
1116,2340,Informatică,7.81
1124,2350,Matematică,7.81
1225,2468,Informatică,7.81
1308,2556,Informatică,7.81
1332,2581,Informatică,7.81
1391,2647,Informatică,7.81
227,1292,Informatică,7.79
